company,title,body,rating,sentiment,predicted,prob_pos,prob_neu,prob_neg
UPS,forkert adresse måtte selv hente den det rigtige sted!,"Jeg bestilte nogle Nike sko, hvorefter der stod de blev fragtet, hvilket også var super fint! Da jeg får en mail om at de er afleveret og jeg drøner hjem og vil hente min pakke er der ingen, jeg bliver hurtigt enig om at kontakte UPS. Hvor jeg får fat i hovedkontoret, som vil sende mig videre til min fragt mand. ikke lang tid efter ringer de tilbage og siger den er leveret og jeg får fragtmanden i rører som siger ""Den er på skraldespanden i garagen, så pakken er leveret og det har jeg på skrift"", hvor jeg efterfølgende prøver at forklare ham at jeg ikke har en garage og mine skraldespande står frit, hvilket ikke rør ham. Vi vælger selv og køre ud og lede efter pakken og finder ud af at den stensikre fragt mand har leveret den hos en der ikke engang har det samme navn som mig! Virkelig skuffet over UPS og især den fragtmand af en spade!",1,negative,neutral,0.011,0.986,0.003
UPS,Værste amatør nogensinde,"Værste amatør nogensinde. Allerede flere gange forsinket pakke for ""fjel i sortering"" og også at de levere min pakke i den anden ende af landet til en forkert person.",1,negative,negative,0.002,0.001,0.998
UPS,Virkelig tynd kundeservice,"Virkelig tynd kundeservice. Kan ikke sende et simpelt spørgsmål uden at lave profil, log-in og hoppe på et ben. Useriøs service.",1,negative,negative,0.022,0.001,0.978
PostNord i Danmark,Præcision og hurtig levering,Præcision og hurtig levering,5,positive,positive,0.914,0.081,0.004
UPS,"😡 UPS, aldrig igen!","Hold da op!Hvad sker der for UPS? Kundeservice er et ord i ikke burde have lov til at bruge.Jeg købte en vare som jeg betalte i euro og derfor troede kom fra EU, det viste sig at den faktisk kom fra England og import moms og behandlings gebyr, løb op til næsten det samme som varen.Jeg ringede til UPS, hvor en flink dame anbefalede mig, at hun fra UPS bare kunne sende den tilbage, til firmaet fir mig, hvilket var pænt af hende.Jeg spurgte om hun kunne bekræfte returneringen via e-mail så jeg havde noget sort på hvidt, det kunne hun ikke, men jeg tig hendes ord for det.Et par dage efter blev jeg så kontaktet af firmaet hvor varen var købt, de havde modtaget varen og refunderet min refundering.Nu begynder 2 måneders mareridt...Jeg begynde at modtage regninger og rykkergebyr fra UPS, på den vare de selv havde sendt retur for mig. Brevene var bestemt ikke venlige efterspørgsler, men at jeg havde 10 dage til at betale eller sagen ville gå til inkasso. Denne faktura indeholder et telefon nummer man skulle ringe til når der var et problem, problemet er dog at der ikke er en auto besked, ikke har en kø, ingen åbningstider, man ringer og der sker ikke noget selv når man lader den ringe op til 15 min i normale kontor tider flere gange.Når man så googler den svenske adresse fakturaen er underskrevet med, ringer til det svenske nummer man så finder, ja så kan de ikke hjælpe fordi de kun håndtere sverige.I 2 måneder har jeg sendt emails til 3 UPS kundeservice afdelinger, hvor af en skrev tilbage og sagde de som jeg ønskede ville eskalere sagen til en manager og jeg medsendte et screen shoot af den e-mail hvori firmaet hvor varen var købt bekræfter refunderingen, der skete bare aldrig mere hos UPS og de svarede heller ikke på mine efterfølgende emails hvori jeg bad om en opdatering... jeg har tinget til alle de telefonnumre jeg har haft i brevene eller kunne Google mig frem til, men kom ingen steder med det.Jeg har nok samlet brugt mere end 6 timer i telefonen for at få UPS til at indse deres fejl og redigere fejlen, alt i alt er der rejst 5 sager bla. Fra Østeuropa og Indien, men intet skete. Vær advaret, du får INGEN hjælp af UPS når de laver fejl. Du har ingen mulighed for at take med en manager, det siger telefon medarbejderne at de ikke kan garantere. Du kan ikke stole på, de online kunderservice medier heller.Selv om du ringer til den danske kundeservice som lukker kl. 19.00 så har jeg flere gange ringer efter arbejde kl. 18.45 hvor kontoret allerede var lukket.Man kan så omstilles til lande som sverige, Østeuropa eller Indien, du har intet valg, men fælles for alle er de ikke kan gøre noget, lover guld og grønne skove og der sker 100% ingenting!I morges kl. 08.00 slog det klik for mig, jeg talte med en medarbejder i danmark som heller ikke kunne/ville lade mig take med en manager, generelt virker telefon medarbejderne ret ligeglad, som om det ikke kommer dem ved.Jeg fik at vide da jeg i morges, da jeg gave 1 time for at en manager skulle ringe til mig, at det var urimeligt kort tid og det kunne de ikke garantere, men jeg skal bare acceptere at de allerede har haft 2 hele måneder til at ordne sagen... really? Og hvad er det lige en manager prioritere højere, end en kunde de har behandlet som skidt under deres sko?Regningen stod på 281,45 DKK, jeg har brugt mere end 6 timer i telefonen, skrevet mere end 25 emails og lige mætte betale for et udlands opkald til deres afdeling i sverige i job om de kunne ordne sagen nu det er deres adresse der er skrevet i faktura brevet.. 2 måneder???? Det er en skandale at UPS er TOTALT ligeglad med deres kunder, ikke vender tilbage til kunderne, nægter at eskalere et problem til en manager, ikke tager ansvar, skubber dig rundt mellem forskellige lande og afdelinger, uden at få hjælp. Jeg fatter ikke hvem der står for så dårlig en kørt kundeservice og ikke er blevet fyret. For 10 minutter siden, efter 4 danske og 1 svensk opkald (alene i dag) ringede en manager, for at informere mig om at deres regnskabsafdeling var blevet opdateret men at de arbejder meget langsomt så det kan godt tage lang tid før fejlen er korrigeret... ikke sikker på hvorfor de ikke sætter flere folk ind, hvorfor de syntes server ok at tage meget lang tid...? Hun undskyldte, men i bund og grund lød ret “du skal bare være glad for at jeg overhovedet gad ringe).Lad os nu se om de sender mig en bekræftigelse e-mail når sagen er afsluttet som hun lovede... jeg tvivler.Tænk at en fejl fra deres side, og fejl kan da ske for alle, men at havde de bare informeret mig fra starten, givet korrekt vejledning fra kundeservice af, ja så havde det ikke ødelagt flere af mine fridage, kostet mig i penge i opkald, krævet 25+ emails, som stort set alle bare blev ignoreret eller alt den tid for at prøve at få lidt retfærdighed.Håber ALDRIG at skulle bruge UPS igen! Bemærk at UPS vælger ikke at svare på negativ reviews!",1,negative,positive,0.798,0.11,0.092
PostNord i Danmark,Meget tilfreds 👍👍,Meget tilfreds 👍👍,5,positive,positive,0.999,0.0,0.001
PostNord i Danmark,Jeg har ikke modtaget pakken og den er…,Jeg har ikke modtaget pakken og den er ikke der hvor jeg skulle hente den. Han siger den ikke er leveret til dem. Så tænker I har en forklaring på det?,1,negative,neutral,0.001,0.996,0.003
PostNord i Danmark,Hurtig levering,Hurtig levering. Hvad mere kan man forlange,5,positive,positive,0.985,0.013,0.002
PostNord i Danmark,God og hurtig levering lige til døren,"God og hurtig levering lige til døren. Punktlige og afleveret med et smil som altid.Vælger altid postnord frem for andre udbydere til leveringer, hvis muligt.",5,positive,positive,0.997,0.001,0.002
FedEx,Jeg har lige vundet en hel palle…,"Jeg har lige vundet en hel palle køkkengrej, til 14,95 kr+ porto var inde og læse da det lød mistænkeligt. De skriver at de har lov til at smide uafhentede pakker ud. Men hvad så med alle dem der ikke har modtaget deres pakke, de er jo blevet snydt🤥🤥🤥🤥😡😡😡 nej tak herfra.",1,negative,negative,0.008,0.002,0.99
