company,title,body,rating,sentiment
PostNord i Danmark,Tjekker ikke modtagerflex,"Pakken blev sat foran min hoveddør (med risiko for at blive våd ved regnvejr) på trods af at jeg har modtagerflex hvoraf fremgår at pakker skal stilles i legehuset ( i tørvejr) Det er desværre ikke første gang at det sker, men skyldes formentlig at der er ny postbud på ruten, som ikke tjekker om der er modtagerflex. Når det er vores ""normale"" postbud bliver det altid leveret korrekt.",1,negative
PostNord i Danmark,En seriøst Postmand smider ikke en…,En seriøst Postmand smider ikke en pakke på 10 Kg. Fra en meter højde på fliser.Pakken indhold en printer for 4.000 Kr. Adressen har to klokke som en Post Nord funktionel analfabet ikke kan anvende dem.Post Nord beskæftiger NEONAZISTER med forkvaklede meninger om andre mennesker som ikke er født i Danmark. Der er en flok af individer med manglende hjerne funktion!!Det er en Stats virksomhed med manglende respekt for borgerne. F.F.S.,1,negative
PostNord i Danmark,2 pakker forsvundet på én uge,"2 pakker har Post Nord formået at lade forsvinde indenfor én uge. Jeg har endnu til gode at opleve, at GLS eller DAO mister en pakke for mig.Den ene pakke er ikke at finde i den pakkeshop, som Post Nord hævder at have leveret pakken til. Den anden pakke hævder Post Nord at have leveret på min adresse, men kameraovervågning viser, at der slet ikke har været nogen forbi den pågældende dag.",1,negative
PostNord i Danmark,Langsomt og ansvarløst,"Langsomt og ansvarløstEfter at have klaget over en skadet pakke var blevet leveret i modtagerflex uden der var taget ansvar for den var skadet, forbød den lokale Postmester, at buddet måtte aflevere pakker hos os udenfor åbningstiden, hvor der tidligere havde været en lokal aftale med buddet og der var adgang til at låse sig selv ind.Det betyder, at nu får vi pakker leveret så sent som 15.15 om eftermiddag i stedet for inden kl. 10...Man kan sige vi ligger som vi har redt, men at de ikke skal tage ansvar for deres arbejde, lyder dælme ikke rart...",1,negative
PostNord i Danmark,Leveret til forkert posthus. Ingen info,"Leveret til forkert posthus. Det er altid en skuffelse at få pakker “leveret” fra PostNord. Jeg får en besked fra det firma hvor jeg har købt en item at min pakke er leveret på afhentningsstedet. Når jeg slår pakken op befinder den sig på et andet posthus. Jeg kan ikke hente pakken da jeg skal have en besked fra PostNord, hvilken jeg stadig ikke har fået, trods at det er flere dage siden at min pakke skulle været kommet til afleveringsstedet. Jeg får ingen info fra postnord…",1,negative
PostNord i Danmark,Har aldrig haft en værre oplevelse,"betalte 240 kroner bare for at min pakke kom 2 uger for sent og blev sent til en helt anden by fedt fedt fedtså prøver jeg at ringe til kundeservice men deres ""kundeservice"" er en robot som ikke kan forstå en skid, og man kan kun ringe mellem 10:00-13:00, jeg tror hellere jeg selv vil flyve til der hvor jeg bestiller min pakke og selv hente den end at bruge postnord",2,negative
PostNord i Danmark,Det er en ommer…. IGEN !!,"Gang på gang bliver pakker - med flexlevering - efterladt et forkert sted.De bliver smidt på en trappe, ud til en meget befærdet sti. Hver gang kontakter jeg Postnord chat, og hver gang loves der at der bliver strammet op.Jeg begriber ikke det er SÅ svært. Jeg har endda skrevet en seddel og hængt på døren til modtagerflex-leveringsstedet. Gætter på samtlige bude ikke kan læse. Da hverken sedlen, eller det der er skrevet i deres system ikke rigtigt synes at betyde noget!",1,negative
PostNord i Danmark,Problemer med omdeling fra Brøndby Pakkecenter,For 3. gang i træk er en pakke til 3200 Helsinge forsinket mere end 2 dag. Der må være problemer med postlevering via Brøndby Pakkecenter. Selvom de annonceres med at pakken er under levering på anden dagen - forsvinder denne meddelelse senere på dagen. Herefter forsinkes pakken yderligere en dag.Der er tilsyneladende ikke styr på pakkeomdelingen fra Brøndby Pakkecenter!,1,negative
PostNord i Danmark,Pakke afleveret 4 km fra min adresse,"Havde bestilt at pakken skulle afleveres i pakkeboks tæt på min adresse. Men jeg skulle hente den i en postbutik 4 km fra min adresse. Udover ar jeg aldrig fik besked om ar pakken var klar til afhentning, der fandt jeg ud sf når jeg selv gik ind med tracking nummeret. Vælger altid et andet en PostNord, hvis der er mulighed for det.Det her skal I kunne gøre bedre.",1,negative
PostNord i Danmark,Post Nord kunne tidligere bruges ved…,"Post Nord kunne tidligere bruges ved afhentning eller returnering ved den lokale Brugs, men nu skal bilen startes for at finde et pickup point. Jeg fravælger decideret online butikker hvor det kun er muligt med Postnord.",1,negative
